"round","attempts","delivered","blocked","other","provider_calls","duplicate_provider_calls"
"1","8","1","7","","1","0"
"2","8","1","7","","1","0"
"3","8","1","7","","1","0"
"4","8","1","7","","1","0"
"5","8","1","7","","1","0"
"6","8","1","7","","1","0"
"7","8","1","7","","1","0"
"8","8","1","7","","1","0"
"9","8","1","7","","1","0"
"10","8","1","7","","1","0"
"11","8","1","7","","1","0"
"12","8","1","7","","1","0"
"13","8","1","7","","1","0"
"14","8","1","7","","1","0"
"15","8","1","7","","1","0"
"16","8","1","7","","1","0"
"17","8","1","7","","1","0"
"18","8","1","7","","1","0"
"19","8","1","7","","1","0"
"20","8","1","7","","1","0"
"21","8","1","7","","1","0"
"22","8","1","7","","1","0"
"23","8","1","7","","1","0"
"24","8","1","7","","1","0"
"25","8","1","7","","1","0"
